Região,País,Taxa(%),Infra-LPI,CPI,PIB_USDbilhões,Ease_of_Doing_Business_Position
Europa W/N,Alemanha,15.8,4.1,78,4526,22
Europa W/N,França,25.0,4.0,71,3052,32
Europa W/N,Reino Unido,25.0,3.8,71,3381,8
Europa W/N,Países Baixos,25.8,4.1,79,1118,24
Europa W/N,Bélgica,25.0,4.0,69,632,46
Europa W/N,Suécia,20.6,4.0,82,593,10
Europa W/N,Noruega,22.0,,84,485,9
Europa W/N,Dinamarca,22.0,4.1,90,404,4
Europa W/N,Irlanda,12.5,3.6,77,545,24
Europa W/N,Finlândia,20.0,4.2,88,300,20
Sudeste Asiático,Singapura,17.0,4.6,84,501,2
Sudeste Asiático,Malásia,24.0,3.5,50,400,12
Sudeste Asiático,Indonésia,22.0,3.1,34,1371,73
Sudeste Asiático,Tailândia,15.0,3.4,38,495,21
Sudeste Asiático,Filipinas,25.0,3.0,28,437,95
Sudeste Asiático,Vietnã,20.0,3.1,41,410,70
Sudeste Asiático,Camboja,20.0,2.7,25,39,
Sudeste Asiático,Laos,20.0,2.7,25,22,
Sudeste Asiático,Myanmar,22.0,2.8,20,59,165
Sudeste Asiático,Brunei,18.5,3.0,63,9,
Américas,EUA,21.0,3.8,65,27721,6
Américas,Canadá,15.0,4.3,76,2140,23
Américas,México,30.0,3.0,31,1789,60
Américas,Brasil,34.0,2.9,36,2174,124
Américas,Argentina,30.0,2.8,37,641,126
Américas,Chile,27.0,3.2,66,335,59
Américas,Colômbia,35.0,2.9,40,364,67
Américas,Peru,29.5,2.9,33,295,76
Américas,Uruguai,25.0,3.0,73, not available (small),
Américas,Guatemala,25.0,2.7,23,95,105
